company,sentiment_score
Route Mobile Ltd,0.2
Happiest Minds Technologies Ltd,0.73
Mindspace Business Parks,-0.01
Yes Bank Ltd,0.51
Rossari Biotech Ltd,0.29
SBI Cards and Payment Services Ltd,0.31
Prince Pipes and Fittings Ltd,0.1
Manaksia Limited,-0.03
Ujjivan Small Finance Bank Ltd,0.06
CSB Bank Limited,0.43
Precision Pipes and Profiles Company Ltd,-0.04
Vishwaraj Sugar Industries Ltd,0.05
IRCTC Limited,0.05
Sterling and Wilson Solar Ltd,0.42
Spandana Sphoorty Financial Ltd,-0.03
Affle (India) Limited,0.25
IndiaMART InterMESH Limited,0.06
Barak Valley Cements Ltd,0.22
Neogen Chemicals Limited,0.08
Polycab India Limited,0.15
Metropolis Healthcare Limited,0.04
Rail Vikas Nigam Limited,0.25
Embassy Office Parks,0.06
MSTC Limited,0.21
Chalet Hotels Limited,0.02
Xelpmoc Design and Tech Limited,0.09
Garden Reach Shipbuilders & Engineers Limited,0.25
Aavas Financiers Limited,0.26
IRCON International Limited,0.18
CreditAccess Grameen Limited,0.19
HDFC Asset Management Company Limited,0.17
TCNS Clothing Co. Limited,0.19
Varroc Engineering Limited,0.16
RITES Limited,0.11
Fine Organic Industries Limited,0.36
IndoStar Capital Finance Limited,0.2
Lemon Tree Hotels Limited,0.01
Mishra Dhatu Nigam Limited,0.26
ICICI Securities Ltd,0.39
Karda Construction Ltd,0.13
Sandhar Technologies Limited,-0.11
Hindustan Aeronautics Limited,0.02
Bandhan Bank Limited,0.08
Bharat Dynamics Ltd,0.36
H.G. Infra Engineering Ltd,0.32
Aster DM Healthcare Ltd,0.27
Galaxy Surfactants Limited,0.13
Amber Enterprises India Limited,-0.01
Newgen Software Technologies Limited,0.19
Apollo Micro Systems Limited,0.36
Astron Paper & Board Mill Ltd,-0.02
Future Supply Chain Solutions Ltd,0.21
Shalby Limited,-0.01
HDFC Standard Life Insurance Company Ltd,0.16
Khadim India Limited,0.09
The New India Assurance Company Limited,0.18
Mahindra Logistics Limited,0.21
Reliance Nippon Life Asset Management Ltd,0.28
General Insurance Corporation of India,0.17
Indian Energy Exchange Ltd,0.36
MAS Financial Services Ltd,0.03
Godrej Agrovet Limited,0.15
Prataap Snacks Limited,0.15
SBI Life Insurance Company Ltd,0.26
ICICI Lombard General Insurance Company Ltd,0.07
Capacit'e Infraprojects Limited,0.23
Matrimony.com Limited,0.21
Bharat Road Network Limited,0.13
Dixon Technologies (India) Limited,0.21
Apex Frozen Foods Ltd,0.14
Cochin Shipyard Ltd,0.08
Security and Intelligence Services (India) Ltd,0.1
Salasar Techno Engineering Ltd,0.03
Au Financiers (India) Limited,0.14
GTPL Hathway Limited,0.08
Central Depository Services (India) Limited,0.17
Eris Lifesciences Limited,0.08
Tejas Networks Limited,0.23
IndiGrid InvIT Fund,0.09
PSP Projects Ltd,0.16
Housing and Urban Development Corporation Ltd,0.18
IRB InvIT Fund,0.23
S Chand and Company Ltd,0.21
Shankara Building Products Ltd,0.21
CL Educate Ltd,0.0
Avenue Supermarts Limited,0.31
Music Broadcast Ltd,0.1
BSE Limited,0.4
Laurus Labs Ltd,0.17
Sheela Foam Ltd,0.39
Varun Beverages Ltd,0.39
PNB Housing Finance Ltd,0.28
Endurance Technologies Ltd,0.16
HPL Electric & Power Ltd,0.43
